id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-06-21 20:20:35,"{""short_code"":""TIjekh"",""original_url"":""https://relay.cloud/quiet/orbit/1""}"
2,2,106,created,2025-01-22 08:44:58,"{""short_code"":""2Aou6Q"",""original_url"":""https://relay.cloud/cobalt/zenith/2""}"
3,3,330,created,2026-01-04 05:20:08,"{""short_code"":""WRvTlO"",""original_url"":""https://example.com/navy/window/3""}"
4,4,194,created,2025-09-19 10:24:58,"{""short_code"":""noW3mf"",""original_url"":""https://acme.dev/amber/lagoon/4""}"
5,5,98,created,2026-01-15 04:02:08,"{""short_code"":""nCH19h"",""original_url"":""https://acme.dev/urban/valley/5""}"
6,6,165,created,2025-08-12 16:32:53,"{""short_code"":""TjY9YA"",""original_url"":""https://acme.dev/jade/orbit/6""}"
7,7,288,created,2025-12-11 02:31:35,"{""short_code"":""hP4WQX"",""original_url"":""https://acme.dev/rapid/river/7""}"
8,8,397,created,2025-03-30 12:50:58,"{""short_code"":""5EkCSx"",""original_url"":""https://relay.cloud/tidy/anchor/8""}"
9,9,329,created,2025-09-16 05:34:41,"{""short_code"":""Z7VWMk"",""original_url"":""https://relay.cloud/young/window/9""}"
10,10,249,created,2025-12-19 00:46:28,"{""short_code"":""IlkcCV"",""original_url"":""https://acme.dev/ember/window/10""}"
11,11,193,created,2025-03-31 07:47:55,"{""short_code"":""7nAyG5"",""original_url"":""https://relay.cloud/lively/delta/11""}"
12,12,70,created,2025-05-23 00:55:37,"{""short_code"":""PNlub9"",""original_url"":""https://hackstack.io/proud/delta/12""}"
13,13,233,created,2025-06-18 16:59:18,"{""short_code"":""CfYUPx"",""original_url"":""https://example.com/cobalt/meadow/13""}"
14,14,170,created,2025-07-05 07:53:58,"{""short_code"":""uhHUVY"",""original_url"":""https://example.com/clear/signal/14""}"
15,15,347,created,2025-10-14 09:08:47,"{""short_code"":""jKeGes"",""original_url"":""https://hackstack.io/harbor/window/15""}"
16,16,354,created,2025-03-30 11:40:13,"{""short_code"":""ID13lz"",""original_url"":""https://seeded.app/navy/island/16""}"
17,17,40,created,2025-08-19 20:11:42,"{""short_code"":""gVoj0E"",""original_url"":""https://acme.dev/forest/journey/17""}"
18,18,65,created,2025-07-18 02:57:12,"{""short_code"":""NYX5uz"",""original_url"":""https://relay.cloud/amber/harvest/18""}"
19,19,386,created,2025-03-11 19:21:25,"{""short_code"":""mRGIXO"",""original_url"":""https://acme.dev/young/kernel/19""}"
20,20,116,created,2025-12-22 09:35:50,"{""short_code"":""Etfc01"",""original_url"":""https://hackstack.io/rapid/engine/20""}"
21,21,310,created,2025-07-12 08:52:40,"{""short_code"":""Qiq5eJ"",""original_url"":""https://relay.cloud/urban/engine/21""}"
22,22,231,created,2025-12-27 14:23:46,"{""short_code"":""pMm6M8"",""original_url"":""https://relay.cloud/forest/pioneer/22""}"
23,23,111,created,2025-06-29 11:04:44,"{""short_code"":""R0wS2f"",""original_url"":""https://hackstack.io/vivid/yard/23""}"
24,24,110,created,2026-01-22 07:12:55,"{""short_code"":""CmhoHy"",""original_url"":""https://acme.dev/mellow/orbit/24""}"
25,25,184,created,2025-07-16 18:22:03,"{""short_code"":""C9lHbG"",""original_url"":""https://acme.dev/calm/garden/25""}"
26,26,243,created,2025-08-25 22:19:31,"{""short_code"":""gCj2dq"",""original_url"":""https://example.com/mellow/lagoon/26""}"
27,27,326,created,2025-06-08 05:14:34,"{""short_code"":""Fx3v8F"",""original_url"":""https://hackstack.io/cobalt/beacon/27""}"
28,28,191,created,2025-05-15 17:10:06,"{""short_code"":""y6JQZR"",""original_url"":""https://example.com/young/delta/28""}"
29,29,181,created,2025-09-23 23:34:44,"{""short_code"":""TaqXCm"",""original_url"":""https://example.com/rapid/garden/29""}"
30,30,293,created,2025-01-16 18:48:23,"{""short_code"":""W1WzMk"",""original_url"":""https://relay.cloud/mellow/yard/30""}"
31,31,208,created,2025-10-14 14:06:03,"{""short_code"":""Jr6Dtf"",""original_url"":""https://relay.cloud/warm/orbit/31""}"
32,32,179,created,2025-02-13 17:04:56,"{""short_code"":""bFSgAE"",""original_url"":""https://example.com/amber/orbit/32""}"
33,33,170,created,2025-02-18 17:15:20,"{""short_code"":""nw53HU"",""original_url"":""https://relay.cloud/silver/anchor/33""}"
34,34,247,created,2025-05-09 18:15:48,"{""short_code"":""nEp1fb"",""original_url"":""https://seeded.app/clear/meadow/34""}"
35,35,189,created,2025-07-14 22:32:03,"{""short_code"":""FihugI"",""original_url"":""https://acme.dev/brisk/journey/35""}"
36,36,167,created,2025-09-02 07:07:42,"{""short_code"":""5qaE8r"",""original_url"":""https://hackstack.io/clear/anchor/36""}"
37,37,236,created,2025-12-26 23:14:57,"{""short_code"":""c6jFpS"",""original_url"":""https://example.com/forest/garden/37""}"
38,38,390,created,2025-07-07 15:49:17,"{""short_code"":""XppBd4"",""original_url"":""https://acme.dev/silver/window/38""}"
39,39,172,created,2025-08-09 03:05:55,"{""short_code"":""lPvdPF"",""original_url"":""https://seeded.app/amber/island/39""}"
40,40,12,created,2025-06-15 07:45:18,"{""short_code"":""hDZYLh"",""original_url"":""https://example.com/jade/anchor/40""}"
41,41,161,created,2025-11-18 16:32:06,"{""short_code"":""Ld1Bd3"",""original_url"":""https://seeded.app/clear/trail/41""}"
42,42,241,created,2026-02-05 02:01:06,"{""short_code"":""DiE141"",""original_url"":""https://hackstack.io/silver/anchor/42""}"
43,43,352,created,2025-11-09 06:48:52,"{""short_code"":""9UhAwr"",""original_url"":""https://acme.dev/quiet/canyon/43""}"
44,44,14,created,2025-12-19 00:01:30,"{""short_code"":""KeWBfx"",""original_url"":""https://acme.dev/tidy/quartz/44""}"
45,45,87,created,2026-01-24 17:23:24,"{""short_code"":""x3eGYC"",""original_url"":""https://relay.cloud/warm/valley/45""}"
46,46,296,created,2025-06-04 15:29:42,"{""short_code"":""MEI15H"",""original_url"":""https://relay.cloud/lively/river/46""}"
47,47,346,created,2025-12-16 08:55:42,"{""short_code"":""O2ipFz"",""original_url"":""https://example.com/mellow/river/47""}"
48,48,101,created,2025-12-23 15:05:33,"{""short_code"":""GCZlcr"",""original_url"":""https://seeded.app/silver/uplink/48""}"
49,49,347,created,2025-12-24 16:18:31,"{""short_code"":""t1FjKv"",""original_url"":""https://acme.dev/forest/trail/49""}"
50,50,108,created,2025-06-21 12:15:56,"{""short_code"":""LcC0Yz"",""original_url"":""https://example.com/dawn/engine/50""}"
51,51,164,created,2025-07-28 15:45:11,"{""short_code"":""EAlMHL"",""original_url"":""https://example.com/rapid/uplink/51""}"
52,52,249,created,2025-01-24 06:54:18,"{""short_code"":""GH7iB1"",""original_url"":""https://example.com/urban/signal/52""}"
53,53,231,created,2025-02-12 15:43:56,"{""short_code"":""LA88VB"",""original_url"":""https://seeded.app/gold/pioneer/53""}"
54,54,99,created,2025-10-17 01:31:51,"{""short_code"":""azapwY"",""original_url"":""https://relay.cloud/keen/valley/54""}"
55,55,337,created,2025-06-15 15:19:56,"{""short_code"":""Svq0Yo"",""original_url"":""https://example.com/brisk/engine/55""}"
56,56,222,created,2025-01-26 04:07:26,"{""short_code"":""IYKwse"",""original_url"":""https://acme.dev/cobalt/zenith/56""}"
57,57,108,created,2025-02-14 18:16:56,"{""short_code"":""UsjFCo"",""original_url"":""https://seeded.app/ember/quartz/57""}"
58,58,126,created,2025-01-03 00:55:17,"{""short_code"":""EYPd0O"",""original_url"":""https://example.com/clear/kernel/58""}"
59,59,55,created,2025-05-05 16:32:15,"{""short_code"":""J8WFju"",""original_url"":""https://example.com/lively/engine/59""}"
60,60,23,created,2025-08-14 15:53:19,"{""short_code"":""Hlzy4a"",""original_url"":""https://seeded.app/young/journey/60""}"
61,61,249,created,2026-01-30 11:27:04,"{""short_code"":""BR6WCU"",""original_url"":""https://seeded.app/tidy/garden/61""}"
62,62,213,created,2025-03-10 02:58:25,"{""short_code"":""S7UlYU"",""original_url"":""https://hackstack.io/ember/window/62""}"
63,63,343,created,2025-05-15 14:29:05,"{""short_code"":""0tsSfi"",""original_url"":""https://seeded.app/cobalt/river/63""}"
64,64,40,created,2025-07-12 09:15:46,"{""short_code"":""LvVOHZ"",""original_url"":""https://example.com/amber/uplink/64""}"
65,65,202,created,2025-07-16 21:21:13,"{""short_code"":""PoRLEN"",""original_url"":""https://example.com/silver/orbit/65""}"
66,66,60,created,2025-09-22 17:30:30,"{""short_code"":""5m1srL"",""original_url"":""https://acme.dev/opal/pioneer/66""}"
67,67,372,created,2025-09-30 05:28:38,"{""short_code"":""eyMUts"",""original_url"":""https://seeded.app/ember/signal/67""}"
68,68,219,created,2025-10-01 21:34:02,"{""short_code"":""0ogqJY"",""original_url"":""https://opswise.net/lively/engine/68""}"
69,69,238,created,2026-02-17 12:06:49,"{""short_code"":""gKkNfG"",""original_url"":""https://acme.dev/opal/harvest/69""}"
70,70,16,created,2025-07-26 02:50:49,"{""short_code"":""j27N5C"",""original_url"":""https://relay.cloud/jade/delta/70""}"
71,71,123,created,2025-04-18 05:24:58,"{""short_code"":""1QwuDf"",""original_url"":""https://opswise.net/silver/harvest/71""}"
72,72,350,created,2025-03-30 10:14:35,"{""short_code"":""nVu5KM"",""original_url"":""https://relay.cloud/young/lagoon/72""}"
73,73,90,created,2025-05-24 23:39:09,"{""short_code"":""k4trrl"",""original_url"":""https://example.com/cobalt/uplink/73""}"
74,74,263,created,2025-07-13 22:21:02,"{""short_code"":""VP89JA"",""original_url"":""https://opswise.net/brisk/anchor/74""}"
75,75,283,created,2025-05-01 16:54:16,"{""short_code"":""xNa25M"",""original_url"":""https://acme.dev/tidy/harvest/75""}"
76,76,31,created,2025-05-10 23:07:19,"{""short_code"":""5rkYMK"",""original_url"":""https://seeded.app/vivid/delta/76""}"
77,77,361,created,2025-04-05 07:23:40,"{""short_code"":""1QH9aR"",""original_url"":""https://relay.cloud/dawn/window/77""}"
78,78,67,created,2025-11-01 01:52:34,"{""short_code"":""Q3Lutt"",""original_url"":""https://acme.dev/clear/engine/78""}"
79,79,296,created,2025-10-27 20:50:07,"{""short_code"":""bB23ov"",""original_url"":""https://seeded.app/young/delta/79""}"
80,80,269,created,2025-06-07 03:33:01,"{""short_code"":""vyPBCV"",""original_url"":""https://relay.cloud/young/engine/80""}"
81,81,324,created,2025-06-03 12:21:49,"{""short_code"":""AUbZ1I"",""original_url"":""https://opswise.net/calm/anchor/81""}"
82,82,117,created,2025-11-23 17:25:02,"{""short_code"":""FZIXuU"",""original_url"":""https://opswise.net/brisk/trail/82""}"
83,83,196,created,2025-02-17 11:17:59,"{""short_code"":""ghcjhC"",""original_url"":""https://relay.cloud/cobalt/river/83""}"
84,84,23,created,2026-02-10 23:30:40,"{""short_code"":""ojykBm"",""original_url"":""https://example.com/urban/uplink/84""}"
85,85,363,created,2026-01-10 14:21:40,"{""short_code"":""6J3RLM"",""original_url"":""https://hackstack.io/ember/anchor/85""}"
86,86,126,created,2026-02-11 07:34:56,"{""short_code"":""Xbv2FG"",""original_url"":""https://relay.cloud/dawn/pioneer/86""}"
87,87,294,created,2025-06-04 04:02:05,"{""short_code"":""cAgPsf"",""original_url"":""https://example.com/proud/canyon/87""}"
88,88,146,created,2025-08-05 02:59:08,"{""short_code"":""QJFaE5"",""original_url"":""https://hackstack.io/ivory/pioneer/88""}"
89,89,229,created,2025-06-02 06:27:15,"{""short_code"":""bWA8b6"",""original_url"":""https://seeded.app/brisk/lagoon/89""}"
90,90,207,created,2025-11-19 11:03:38,"{""short_code"":""kKNcQv"",""original_url"":""https://opswise.net/keen/orbit/90""}"
91,91,15,created,2025-10-23 20:22:18,"{""short_code"":""xXX546"",""original_url"":""https://relay.cloud/calm/window/91""}"
92,92,65,created,2025-12-18 22:03:02,"{""short_code"":""lH0GOw"",""original_url"":""https://relay.cloud/proud/orbit/92""}"
93,93,152,created,2025-11-18 01:54:17,"{""short_code"":""GQjSqA"",""original_url"":""https://opswise.net/young/zenith/93""}"
94,94,285,created,2025-04-08 06:18:08,"{""short_code"":""JOZpbJ"",""original_url"":""https://hackstack.io/vivid/signal/94""}"
95,95,59,created,2025-09-30 05:54:11,"{""short_code"":""vt8NFZ"",""original_url"":""https://seeded.app/brisk/delta/95""}"
96,96,4,created,2025-08-12 10:27:58,"{""short_code"":""4wTlZb"",""original_url"":""https://relay.cloud/tidy/canyon/96""}"
97,97,309,created,2025-06-14 20:15:14,"{""short_code"":""uRruBd"",""original_url"":""https://opswise.net/cobalt/meadow/97""}"
98,98,282,created,2025-07-04 11:43:52,"{""short_code"":""YrRZLA"",""original_url"":""https://seeded.app/keen/beacon/98""}"
99,99,54,created,2025-02-27 12:53:38,"{""short_code"":""as77So"",""original_url"":""https://relay.cloud/rapid/meadow/99""}"
100,100,211,created,2025-04-20 16:14:41,"{""short_code"":""M2URdq"",""original_url"":""https://hackstack.io/cobalt/window/100""}"
101,101,279,created,2025-03-05 07:42:47,"{""short_code"":""3Z1K78"",""original_url"":""https://seeded.app/jade/orbit/101""}"
102,102,376,created,2025-12-22 23:18:17,"{""short_code"":""8tCM37"",""original_url"":""https://hackstack.io/lively/kernel/102""}"
103,103,247,created,2025-01-30 23:59:09,"{""short_code"":""2S6EIt"",""original_url"":""https://hackstack.io/calm/trail/103""}"
104,104,51,created,2026-01-20 16:57:56,"{""short_code"":""TeyF33"",""original_url"":""https://example.com/ivory/uplink/104""}"
105,105,182,created,2025-10-15 10:43:53,"{""short_code"":""VvMUYp"",""original_url"":""https://hackstack.io/lively/garden/105""}"
106,106,262,created,2025-07-27 09:08:37,"{""short_code"":""qefxPl"",""original_url"":""https://relay.cloud/tidy/meadow/106""}"
107,107,62,created,2026-01-15 20:28:27,"{""short_code"":""Es9Pmy"",""original_url"":""https://example.com/rapid/river/107""}"
108,108,310,created,2026-01-08 14:11:54,"{""short_code"":""GzR4Xf"",""original_url"":""https://relay.cloud/proud/journey/108""}"
109,109,373,created,2025-03-05 18:50:28,"{""short_code"":""3Zmndk"",""original_url"":""https://relay.cloud/silver/field/109""}"
110,110,339,created,2025-02-07 05:55:42,"{""short_code"":""6R4dM8"",""original_url"":""https://example.com/quiet/delta/110""}"
111,111,248,created,2025-10-25 00:16:09,"{""short_code"":""QG0tTL"",""original_url"":""https://acme.dev/dawn/delta/111""}"
112,112,389,created,2025-11-08 00:46:12,"{""short_code"":""nQk9CB"",""original_url"":""https://seeded.app/calm/garden/112""}"
113,113,77,created,2025-07-18 19:05:43,"{""short_code"":""jMWayQ"",""original_url"":""https://hackstack.io/opal/yard/113""}"
